Python,SQL,ML,React,Docker,Career
3,10,4,4,8,Backend Developer
1,10,5,5,9,Data Scientist
9,1,1,6,1,Full Stack Developer
0,3,0,2,6,Full Stack Developer
2,3,10,1,4,Full Stack Developer
6,6,10,1,7,Full Stack Developer
1,1,0,5,2,Full Stack Developer
3,9,8,0,6,Data Scientist
4,4,8,5,6,Full Stack Developer
9,3,6,8,7,Frontend Developer
4,9,5,6,4,Data Scientist
6,6,10,0,5,Full Stack Developer
5,3,8,6,9,Full Stack Developer
5,7,4,2,5,Backend Developer
9,10,9,10,6,ML Engineer
5,3,7,1,3,Full Stack Developer
7,7,1,7,10,Frontend Developer
5,2,8,0,2,Full Stack Developer
3,1,2,2,6,Full Stack Developer
6,2,8,9,10,Frontend Developer
8,9,7,8,1,ML Engineer
0,1,8,2,9,Full Stack Developer
7,10,2,4,2,Full Stack Developer
9,2,5,8,0,Frontend Developer
1,0,3,4,4,Full Stack Developer
5,6,4,3,2,Full Stack Developer
4,1,8,2,3,Full Stack Developer
0,5,10,3,4,Full Stack Developer
0,4,5,8,10,Full Stack Developer
1,6,1,9,8,Full Stack Developer
6,8,2,3,1,Full Stack Developer
8,3,1,5,9,Full Stack Developer
5,9,6,7,10,Data Scientist
5,1,7,7,10,Frontend Developer
0,5,4,0,8,Full Stack Developer
10,3,7,9,3,ML Engineer
7,6,10,5,8,ML Engineer
10,0,5,9,3,Frontend Developer
1,5,4,6,5,Full Stack Developer
8,9,3,5,9,Backend Developer
8,3,4,7,3,Frontend Developer
10,0,10,8,6,ML Engineer
0,6,9,7,3,Full Stack Developer
5,3,3,10,8,Frontend Developer
8,6,7,4,9,ML Engineer
8,10,7,5,3,ML Engineer
7,1,8,7,7,ML Engineer
0,4,5,9,7,Full Stack Developer
5,7,8,7,9,Data Scientist
2,5,6,5,8,Full Stack Developer
4,0,0,1,7,Full Stack Developer
8,2,3,8,2,Frontend Developer
1,0,6,4,9,Full Stack Developer
3,9,7,8,7,Data Scientist
5,9,4,4,3,Full Stack Developer
4,7,6,0,6,Data Scientist
1,2,8,9,4,Full Stack Developer
3,2,3,0,0,Full Stack Developer
9,2,6,9,6,Frontend Developer
1,4,4,7,7,Full Stack Developer
9,0,6,6,10,Full Stack Developer
8,9,0,7,10,Frontend Developer
1,5,8,3,5,Full Stack Developer
10,7,5,7,4,Data Scientist
6,1,7,2,9,Full Stack Developer
10,9,0,10,8,Frontend Developer
1,3,7,2,8,Full Stack Developer
8,8,1,4,0,Full Stack Developer
8,2,10,5,7,ML Engineer
2,10,1,10,8,Backend Developer
1,3,3,5,4,Full Stack Developer
1,2,8,9,10,Full Stack Developer
0,6,0,0,7,Full Stack Developer
7,2,1,8,2,Frontend Developer
10,3,1,3,2,Full Stack Developer
4,4,7,10,7,Full Stack Developer
4,6,0,3,5,Full Stack Developer
7,9,7,0,7,ML Engineer
0,7,1,6,10,Backend Developer
8,0,1,2,5,Full Stack Developer
9,3,3,2,1,Full Stack Developer
7,5,9,7,4,ML Engineer
6,1,0,7,1,Frontend Developer
8,10,4,10,10,Frontend Developer
3,0,2,0,1,Full Stack Developer
0,7,5,7,5,Data Scientist
1,1,4,10,7,Full Stack Developer
5,4,4,6,3,Full Stack Developer
1,4,3,6,0,Full Stack Developer
0,5,8,5,10,Full Stack Developer
4,1,8,10,10,Full Stack Developer
3,1,3,0,0,Full Stack Developer
0,0,2,5,1,Full Stack Developer
4,10,8,2,9,Data Scientist
2,8,5,3,10,Data Scientist
6,8,1,7,2,Frontend Developer
10,5,7,7,7,ML Engineer
3,6,2,3,10,Full Stack Developer
0,6,5,3,3,Full Stack Developer
6,1,6,0,6,Full Stack Developer
3,4,0,4,9,Full Stack Developer
10,10,10,4,10,ML Engineer
4,6,0,6,1,Full Stack Developer
10,8,5,9,3,Data Scientist
1,8,4,9,9,Backend Developer
0,0,2,0,1,Full Stack Developer
8,1,0,3,6,Full Stack Developer
10,0,10,5,0,ML Engineer
8,6,3,8,9,Frontend Developer
3,7,6,7,9,Data Scientist
6,5,8,10,0,Frontend Developer
4,4,4,2,1,Full Stack Developer
10,6,2,9,2,Frontend Developer
3,7,9,7,3,Data Scientist
4,8,10,7,4,Data Scientist
4,3,3,10,7,Full Stack Developer
2,0,9,3,6,Full Stack Developer
6,0,4,2,8,Full Stack Developer
0,0,4,8,4,Full Stack Developer
3,7,10,7,1,Data Scientist
5,7,3,6,4,Full Stack Developer
10,10,3,9,9,Frontend Developer
5,1,6,1,6,Full Stack Developer
2,7,8,9,8,Data Scientist
5,10,5,7,4,Data Scientist
9,1,3,3,2,Full Stack Developer
1,6,0,9,10,Full Stack Developer
4,4,5,1,3,Full Stack Developer
7,6,0,5,9,Full Stack Developer
0,0,9,8,2,Full Stack Developer
1,5,4,3,8,Full Stack Developer
3,6,9,0,4,Full Stack Developer
3,8,4,5,2,Full Stack Developer
9,9,2,3,7,Backend Developer
1,6,2,4,4,Full Stack Developer
1,2,10,5,2,Full Stack Developer
4,10,9,6,1,Data Scientist
8,8,7,0,10,ML Engineer
8,9,9,3,10,ML Engineer
7,7,0,5,1,Full Stack Developer
3,2,2,0,1,Full Stack Developer
8,6,5,5,6,Full Stack Developer
10,1,2,9,8,Frontend Developer
5,10,10,4,7,Data Scientist
3,0,4,2,9,Full Stack Developer
1,5,0,10,6,Full Stack Developer
7,5,1,1,5,Full Stack Developer
4,6,4,1,8,Full Stack Developer
6,7,9,4,8,Data Scientist
7,1,0,10,3,Frontend Developer
7,8,4,0,6,Backend Developer
2,5,7,4,7,Full Stack Developer
2,2,4,3,8,Full Stack Developer
5,9,2,3,1,Full Stack Developer
6,9,3,0,0,Full Stack Developer
1,9,2,2,6,Backend Developer
1,8,7,8,4,Data Scientist
3,9,6,8,7,Data Scientist
7,9,3,1,6,Backend Developer
5,6,3,10,4,Frontend Developer
5,8,1,10,0,Frontend Developer
6,10,2,5,2,Full Stack Developer
0,2,7,3,7,Full Stack Developer
5,0,8,9,9,Frontend Developer
4,7,2,5,3,Full Stack Developer
4,5,8,0,10,Full Stack Developer
4,0,9,0,6,Full Stack Developer
3,5,1,9,1,Full Stack Developer
10,3,1,1,1,Full Stack Developer
4,7,10,3,5,Data Scientist
2,1,9,1,7,Full Stack Developer
6,2,8,0,6,Full Stack Developer
2,3,2,5,0,Full Stack Developer
3,7,10,7,2,Data Scientist
0,2,1,1,3,Full Stack Developer
5,3,4,10,9,Frontend Developer
1,6,10,6,0,Full Stack Developer
1,6,5,1,0,Full Stack Developer
6,7,7,0,7,Data Scientist
7,3,7,1,8,ML Engineer
4,0,7,3,2,Full Stack Developer
10,0,3,5,5,Full Stack Developer
3,2,1,7,10,Full Stack Developer
2,3,4,10,10,Full Stack Developer
7,4,7,0,5,ML Engineer
1,5,4,4,10,Full Stack Developer
5,6,1,4,3,Full Stack Developer
10,9,2,0,8,Backend Developer
0,9,0,6,1,Full Stack Developer
2,3,3,5,0,Full Stack Developer
1,4,1,5,3,Full Stack Developer
2,4,3,8,5,Full Stack Developer
2,1,4,8,9,Full Stack Developer
8,0,7,8,1,ML Engineer
1,4,6,3,10,Full Stack Developer
1,4,3,9,0,Full Stack Developer
9,0,0,4,6,Full Stack Developer
0,9,3,8,6,Backend Developer
5,5,10,6,3,Full Stack Developer
6,9,3,5,2,Full Stack Developer
1,7,5,8,8,Data Scientist
0,3,4,9,1,Full Stack Developer
1,6,7,7,10,Full Stack Developer
2,9,0,0,3,Full Stack Developer
3,4,4,10,5,Full Stack Developer
4,4,1,0,2,Full Stack Developer
1,6,0,0,9,Full Stack Developer
9,2,4,7,5,Frontend Developer
5,2,3,2,8,Full Stack Developer
3,1,5,3,7,Full Stack Developer
4,1,8,7,1,Full Stack Developer
2,5,8,5,4,Full Stack Developer
6,8,3,1,5,Backend Developer
9,10,0,8,10,Frontend Developer
8,6,2,7,3,Frontend Developer
2,6,9,8,6,Full Stack Developer
3,2,3,1,10,Full Stack Developer
2,8,10,4,2,Data Scientist
8,1,9,6,1,ML Engineer
10,2,10,4,8,ML Engineer
5,5,9,3,2,Full Stack Developer
3,0,7,10,4,Full Stack Developer
